cell_type	gene	expressed
K562	LINC01777	TRUE
K562	LINC01346	TRUE
K562	LINC01134	TRUE
K562	C1orf174	TRUE
K562	DFFB	TRUE
K562	CEP104	TRUE
K562	LRRC47	TRUE
K562	SMIM1	TRUE
K562	CCDC27	TRUE
K562	TP73	TRUE
K562	WRAP73	TRUE
K562	TPRG1L	TRUE
K562	MEGF6	TRUE
K562	ARHGEF16	TRUE
K562	MMEL1	TRUE
K562	FAM213B	TRUE
K562	TNFRSF14	TRUE
K562	PANK4	TRUE
K562	PLCH2	TRUE
K562	PEX10	TRUE
K562	RER1	TRUE
K562	MORN1	TRUE
K562	SKI	TRUE
K562	FAAP20	TRUE
K562	PRKCZ	TRUE
K562	CFAP74	TRUE
K562	TMEM52	TRUE
K562	CALML6	TRUE
K562	GNB1	TRUE
K562	NADK	TRUE
K562	SLC35E2	TRUE
K562	CDK11A	TRUE
K562	CDK11B	TRUE
K562	SLC35E2B	TRUE
K562	MIB2	TRUE
K562	FNDC10	TRUE
K562	SSU72	TRUE
K562	ATAD3A	TRUE
K562	ATAD3B	TRUE
K562	ATAD3C	TRUE
K562	VWA1	TRUE
K562	LINC01770	TRUE
K562	ANKRD65	TRUE
K562	MRPL20	TRUE
K562	CCNL2	TRUE
K562	AURKAIP1	TRUE
K562	MXRA8	TRUE
K562	DVL1	TRUE
K562	TAS1R3	TRUE
K562	CPTP	TRUE
K562	INTS11	TRUE
K562	PUSL1	TRUE
K562	ACAP3	TRUE
K562	SCNN1D	TRUE
K562	UBE2J2	TRUE
K562	C1QTNF12	TRUE
K562	B3GALT6	TRUE
K562	SDF4	TRUE
K562	TNFRSF4	TRUE
K562	TNFRSF18	TRUE
K562	TTLL10	TRUE
K562	LINC01342	TRUE
K562	C1orf159	TRUE
K562	RNF223	TRUE
K562	AGRN	TRUE
K562	ISG15	TRUE
K562	HES4	TRUE
K562	PLEKHN1	TRUE
K562	KLHL17	TRUE
K562	NOC2L	TRUE
K562	SAMD11	TRUE
K562	LINC01128	TRUE
K562	LINC00115	TRUE
K562	FAM87B	TRUE
K562	NPHP4	TRUE
K562	KCNAB2	TRUE
K562	RPL22	TRUE
K562	RNF207	TRUE
K562	ICMT	TRUE
K562	LINC00337	TRUE
K562	GPR153	TRUE
K562	ACOT7	TRUE
K562	HES2	TRUE
K562	ESPN	TRUE
K562	PLEKHG5	TRUE
K562	NOL9	TRUE
K562	TAS1R1	TRUE
K562	ZBTB48	TRUE
K562	KLHL21	TRUE
K562	PHF13	TRUE
K562	THAP3	TRUE
K562	DNAJC11	TRUE
K562	CAMTA1	TRUE
K562	VAMP3	TRUE
K562	PER3	TRUE
K562	UTS2	TRUE
K562	PARK7	TRUE
K562	ERRFI1	TRUE
K562	LINC01714	TRUE
K562	SLC45A1	TRUE
K562	RERE	TRUE
K562	ENO1	TRUE
K562	SLC2A7	TRUE
K562	SLC2A5	TRUE
K562	GPR157	TRUE
K562	H6PD	TRUE
K562	SPSB1	TRUE
K562	SLC25A33	TRUE
K562	TMEM201	TRUE
K562	PIK3CD	TRUE
K562	CLSTN1	TRUE
K562	CTNNBIP1	TRUE
K562	LZIC	TRUE
K562	NMNAT1	TRUE
K562	UBE4B	TRUE
K562	KIF1B	TRUE
K562	PGD	TRUE
K562	APITD1-CORT	TRUE
K562	CENPS	TRUE
K562	CORT	TRUE
K562	DFFA	TRUE
K562	PEX14	TRUE
K562	TARDBP	TRUE
K562	SRM	TRUE
K562	EXOSC10	TRUE
K562	MTOR	TRUE
K562	UBIAD1	TRUE
K562	DISP3	TRUE
K562	FBXO2	TRUE
K562	FBXO44	TRUE
K562	FBXO6	TRUE
K562	MAD2L2	TRUE
K562	AGTRAP	TRUE
K562	C1orf167	TRUE
K562	CLCN6	TRUE
K562	MTHFR	TRUE
K562	NPPA	TRUE
K562	KIAA2013	TRUE
K562	PLOD1	TRUE
K562	MFN2	TRUE
K562	MIIP	TRUE
K562	TNFRSF8	TRUE
K562	TNFRSF1B	TRUE
K562	VPS13D	TRUE
K562	DHRS3	TRUE
K562	AADACL4	TRUE
K562	C1orf158	TRUE
K562	KAZN	TRUE
K562	TMEM51	TRUE
K562	C1orf195	TRUE
K562	EFHD2	TRUE
