Sample	Biosample term name	Biosample term id	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	DNase Experiment accession	DNase Experiment date released	DNase Lab	DNase Donor(s)	DNase File accession	DNase Output type	DNase Run type	ENCODE-rE2G v1	Default Sample	full_predictions_path	thresholded_bedpe_path	thresholded_bigInteract_path	thresholded_predictions_path	full_predictions_mitra	thresholded_bedpe_mitra	thresholded_bigInteract_mitra	thresholded_predictions_mitra	full_predictions_synapse	thresholded_predictions_synapse	thresholded_bedpe_synapse	thresholded_bigInteract_synapse	dnase_bigwig_url
8988T_ENCSR000EID	8988T	EFO:0005713	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000EID	2011-04-19	Gregory Crawford, Duke	/human-donors/ENCDO000ACP/	ENCFF590FGE	unfiltered alignments	single-ended	TRUE	TRUE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_8988T_ENCSR000EID_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_8988T_ENCSR000EID_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_8988T_ENCSR000EID_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_8988T_ENCSR000EID_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_8988T_ENCSR000EID_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_8988T_ENCSR000EID_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_8988T_ENCSR000EID_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_8988T_ENCSR000EID_thresholded_predictions.tsv.gz	syn55178468	syn55178462	syn55178465	syn55178461	https://www.encodeproject.org/files/ENCFF140GVM/@@download/ENCFF140GVM.bigWig
A172_ENCSR932KWJ	A172	EFO:0002101	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR932KWJ	2015-08-18	John Stamatoyannopoulos, UW	/human-donors/ENCDO934VEN/	ENCFF567HRE, ENCFF479STA	alignments, alignments	paired-ended, paired-ended	TRUE	TRUE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A172_ENCSR932KWJ_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A172_ENCSR932KWJ_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A172_ENCSR932KWJ_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A172_ENCSR932KWJ_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A172_ENCSR932KWJ_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A172_ENCSR932KWJ_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A172_ENCSR932KWJ_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A172_ENCSR932KWJ_thresholded_predictions.tsv.gz	syn55178010	syn55178005	syn55178006	syn55178004	https://www.encodeproject.org/files/ENCFF332UAH/@@download/ENCFF332UAH.bigWig
A549_ENCSR000ELW	A549	EFO:0001086	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENCSR000ELW	2016-07-21	John Stamatoyannopoulos, UW	/human-donors/ENCDO000AAZ/	ENCFF048PFJ, ENCFF410CDT	unfiltered alignments, alignments	single-ended, paired-ended	TRUE	TRUE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR000ELW_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR000ELW_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR000ELW_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR000ELW_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR000ELW_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR000ELW_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR000ELW_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR000ELW_thresholded_predictions.tsv.gz	syn55177823	syn55177816	syn55177818	syn55177815	https://www.encodeproject.org/files/ENCFF985FHV/@@download/ENCFF985FHV.bigWig
A549_ENCSR406EMB	A549	EFO:0001086	cell line	Homo sapiens	dexamethasone	100 nM	0.5 hour	NA	NA	NA	NA	NA	NA	ENCSR406EMB	2016-05-05	Tim Reddy, Duke	/human-donors/ENCDO000AAZ/	ENCFF199AQX, ENCFF512OTM, ENCFF313ILC, ENCFF635HDK, ENCFF004RNE	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments	single-ended, single-ended, single-ended, single-ended, single-ended	FALSE	FALSE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR406EMB_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR406EMB_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR406EMB_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR406EMB_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR406EMB_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR406EMB_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR406EMB_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR406EMB_thresholded_predictions.tsv.gz	syn55177757	syn55177750	syn55177752	syn55177749	https://www.encodeproject.org/files/ENCFF358DJD/@@download/ENCFF358DJD.bigWig
A549_ENCSR384KCZ	A549	EFO:0001086	cell line	Homo sapiens	dexamethasone	100 nM	1 hour	NA	NA	NA	NA	NA	NA	ENCSR384KCZ	2016-05-05	Tim Reddy, Duke	/human-donors/ENCDO000AAZ/	ENCFF838CUA, ENCFF369CLX, ENCFF658VKV, ENCFF455QZC, ENCFF008YUA	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments	single-ended, single-ended, single-ended, single-ended, single-ended	TRUE	FALSE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR384KCZ_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR384KCZ_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR384KCZ_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR384KCZ_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR384KCZ_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR384KCZ_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR384KCZ_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR384KCZ_thresholded_predictions.tsv.gz	syn55177764	syn55177754	syn55177758	syn55177753	https://www.encodeproject.org/files/ENCFF674WCO/@@download/ENCFF674WCO.bigWig
A549_ENCSR128IVG	A549	EFO:0001086	cell line	Homo sapiens	dexamethasone	100 nM	10 hour	NA	NA	NA	NA	NA	NA	ENCSR128IVG	2016-05-05	Tim Reddy, Duke	/human-donors/ENCDO000AAZ/	ENCFF656VAK, ENCFF989AGK, ENCFF331AYH, ENCFF088PRP	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments	single-ended, single-ended, single-ended, single-ended	FALSE	FALSE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR128IVG_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR128IVG_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR128IVG_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR128IVG_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR128IVG_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR128IVG_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR128IVG_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR128IVG_thresholded_predictions.tsv.gz	syn55177770	syn55177761	syn55177763	syn55177760	https://www.encodeproject.org/files/ENCFF471MAS/@@download/ENCFF471MAS.bigWig
A549_ENCSR523FJT	A549	EFO:0001086	cell line	Homo sapiens	dexamethasone	100 nM	12 hour	NA	NA	NA	NA	NA	NA	ENCSR523FJT	2016-05-05	Tim Reddy, Duke	/human-donors/ENCDO000AAZ/	ENCFF144UVO, ENCFF924LAN, ENCFF202XXK, ENCFF344BWR	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments	single-ended, single-ended, single-ended, single-ended	FALSE	FALSE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR523FJT_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR523FJT_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR523FJT_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR523FJT_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR523FJT_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR523FJT_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR523FJT_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR523FJT_thresholded_predictions.tsv.gz	syn55177774	syn55177768	syn55177771	syn55177766	https://www.encodeproject.org/files/ENCFF552RSJ/@@download/ENCFF552RSJ.bigWig
A549_ENCSR837VHE	A549	EFO:0001086	cell line	Homo sapiens	dexamethasone	100 nM	2 hour	NA	NA	NA	NA	NA	NA	ENCSR837VHE	2016-05-05	Tim Reddy, Duke	/human-donors/ENCDO000AAZ/	ENCFF023LKT, ENCFF352OMJ, ENCFF731FBN, ENCFF382QUN	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments	single-ended, single-ended, single-ended, single-ended	FALSE	FALSE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR837VHE_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR837VHE_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR837VHE_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR837VHE_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR837VHE_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR837VHE_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR837VHE_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR837VHE_thresholded_predictions.tsv.gz	syn55177779	syn55177773	syn55177775	syn55177772	https://www.encodeproject.org/files/ENCFF570PHG/@@download/ENCFF570PHG.bigWig
A549_ENCSR294XUZ	A549	EFO:0001086	cell line	Homo sapiens	dexamethasone	100 nM	3 hour	NA	NA	NA	NA	NA	NA	ENCSR294XUZ	2016-05-05	Tim Reddy, Duke	/human-donors/ENCDO000AAZ/	ENCFF937BFS, ENCFF681EYE, ENCFF064MSU, ENCFF287FKK	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments	single-ended, single-ended, single-ended, single-ended	FALSE	FALSE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR294XUZ_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR294XUZ_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR294XUZ_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR294XUZ_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR294XUZ_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR294XUZ_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR294XUZ_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR294XUZ_thresholded_predictions.tsv.gz	syn55177784	syn55177777	syn55177780	syn55177776	https://www.encodeproject.org/files/ENCFF247MJK/@@download/ENCFF247MJK.bigWig
A549_ENCSR599WJC	A549	EFO:0001086	cell line	Homo sapiens	dexamethasone	100 nM	4 hour	NA	NA	NA	NA	NA	NA	ENCSR599WJC	2016-05-05	Tim Reddy, Duke	/human-donors/ENCDO000AAZ/	ENCFF101SSS, ENCFF974NNZ, ENCFF332WAL, ENCFF134NCO	unfiltered alignments, unfiltered alignments, unfiltered alignments, unfiltered alignments	single-ended, single-ended, single-ended, single-ended	FALSE	FALSE	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR599WJC_full_predictions.tsv.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR599WJC_thresholded_predictions.bedpe.gz	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR599WJC_thresholded_predictions.bigInteract	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR599WJC_thresholded_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/full_predictions/encode_e2g_predictions_A549_ENCSR599WJC_full_predictions.tsv.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bedpe/encode_e2g_predictions_A549_ENCSR599WJC_thresholded_predictions.bedpe.gz	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_bigInteract/encode_e2g_predictions_A549_ENCSR599WJC_thresholded_predictions.bigInteract	https://mitra.stanford.edu/engreitz/oak/Projects/Benchmarking/Revisions/Predictors/ENCODE-rE2G/dhs_only/thresholded_predictions/encode_e2g_predictions_A549_ENCSR599WJC_thresholded_predictions.tsv.gz	syn55177789	syn55177782	syn55177785	syn55177781	https://www.encodeproject.org/files/ENCFF793NMR/@@download/ENCFF793NMR.bigWig
