2025-08-12 18:30:19.235804	https://www.encodeproject.org/report/?type=Annotation&annotation_type=element+gene+regulatory+interaction+predictions&software_used.software.name=distal-regulation-encode_re2g&status=released&field=%40id&field=accession&field=aliases&field=experimental_input&limit=all
ID	Accession	Aliases	Experimental input
/annotations/ENCSR359SEG/	ENCSR359SEG	jesse-engreitz:abc_predictions_T-cell_ENCSR025EYJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR025EYJ_DNaseOnly	/experiments/ENCSR025EYJ/
/annotations/ENCSR821AHR/	ENCSR821AHR	jesse-engreitz:abc_predictions_T-cell_ENCSR040DGJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR040DGJ_DNaseOnly	/experiments/ENCSR040DGJ/
/annotations/ENCSR592CPY/	ENCSR592CPY	jesse-engreitz:abc_predictions_CD8-positive__alpha-beta_T_cell_ENCSR162JNV_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR162JNV_DNaseOnly	/experiments/ENCSR162JNV/
/annotations/ENCSR152LHK/	ENCSR152LHK	jesse-engreitz:abc_predictions_psoas_muscle_ENCSR000ELO_DNaseOnly,jesse-engreitz:encode_re2g_predictions_psoas_muscle_ENCSR000ELO_DNaseOnly	/experiments/ENCSR000ELO/
/annotations/ENCSR785DHY/	ENCSR785DHY	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR763XBU_DNaseOnly,jesse-engreitz:encode_re2g_predictions_dorsolateral_prefrontal_cortex_ENCSR763XBU_DNaseOnly	/experiments/ENCSR763XBU/
/annotations/ENCSR931UNZ/	ENCSR931UNZ	jesse-engreitz:abc_predictions_natural_killer_cell_ENCSR794TLA_DNaseOnly,jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR794TLA_DNaseOnly	/experiments/ENCSR794TLA/
/annotations/ENCSR683TJK/	ENCSR683TJK	jesse-engreitz:abc_predictions_T-cell_ENCSR414IHC_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR414IHC_DNaseOnly	/experiments/ENCSR414IHC/
/annotations/ENCSR180FIU/	ENCSR180FIU	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR921PPJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_dorsolateral_prefrontal_cortex_ENCSR921PPJ_DNaseOnly	/experiments/ENCSR921PPJ/
/annotations/ENCSR303WHX/	ENCSR303WHX	jesse-engreitz:abc_predictions_CD14-positive_monocyte_ENCSR277ZHX_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD14-positive_monocyte_ENCSR277ZHX_DNaseOnly	/experiments/ENCSR277ZHX/
/annotations/ENCSR605MTG/	ENCSR605MTG	jesse-engreitz:abc_predictions_WI38_ENCSR000EQN_DNaseOnly,jesse-engreitz:encode_re2g_predictions_WI38_ENCSR000EQN_DNaseOnly	/experiments/ENCSR000EQN/
/annotations/ENCSR055KKJ/	ENCSR055KKJ	jesse-engreitz:abc_predictions_CD14-positive_monocyte_ENCSR674JIL_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD14-positive_monocyte_ENCSR674JIL_DNaseOnly	/experiments/ENCSR674JIL/
/annotations/ENCSR206XEV/	ENCSR206XEV	jesse-engreitz:abc_predictions_neuronal_stem_cell_ENCSR278FVO_DNaseOnly,jesse-engreitz:encode_re2g_predictions_neuronal_stem_cell_ENCSR278FVO_DNaseOnly	/experiments/ENCSR278FVO/
/annotations/ENCSR650WQY/	ENCSR650WQY	jesse-engreitz:abc_predictions_T-helper_1_cell_ENCSR260UJJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR260UJJ_DNaseOnly	/experiments/ENCSR260UJJ/
/annotations/ENCSR149LPI/	ENCSR149LPI	jesse-engreitz:abc_predictions_CD14-positive_monocyte_ENCSR695AUY_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD14-positive_monocyte_ENCSR695AUY_DNaseOnly	/experiments/ENCSR695AUY/
/annotations/ENCSR572NTP/	ENCSR572NTP	jesse-engreitz:abc_predictions_CD4-positive__alpha-beta_T_cell_ENCSR642BXP_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR642BXP_DNaseOnly	/experiments/ENCSR642BXP/
/annotations/ENCSR947FQM/	ENCSR947FQM	jesse-engreitz:abc_predictions_T_follicular_helper_cell_ENCSR486KKY_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T_follicular_helper_cell_ENCSR486KKY_DNaseOnly	/experiments/ENCSR486KKY/
/annotations/ENCSR482UJZ/	ENCSR482UJZ	jesse-engreitz:abc_predictions_left_hindlimb_ENCSR431UEM_DNaseOnly,jesse-engreitz:encode_re2g_predictions_left_hindlimb_ENCSR431UEM_DNaseOnly	/experiments/ENCSR431UEM/
/annotations/ENCSR017RNR/	ENCSR017RNR	jesse-engreitz:abc_predictions_osteoblast_ENCSR000ELJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_osteoblast_ENCSR000ELJ_DNaseOnly	/experiments/ENCSR000ELJ/
/annotations/ENCSR084GRR/	ENCSR084GRR	jesse-engreitz:abc_predictions_common_myeloid_progenitor__CD34-positive_ENCSR495INQ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_common_myeloid_progenitor__CD34-positive_ENCSR495INQ_DNaseOnly	/experiments/ENCSR495INQ/
/annotations/ENCSR719BDF/	ENCSR719BDF	jesse-engreitz:abc_predictions_CD1c-positive_myeloid_dendritic_cell_ENCSR373BIX_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD1c-positive_myeloid_dendritic_cell_ENCSR373BIX_DNaseOnly	/experiments/ENCSR373BIX/
/annotations/ENCSR876WVC/	ENCSR876WVC	jesse-engreitz:abc_predictions_CD14-positive_monocyte_ENCSR241BNZ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD14-positive_monocyte_ENCSR241BNZ_DNaseOnly	/experiments/ENCSR241BNZ/
/annotations/ENCSR771WEQ/	ENCSR771WEQ	jesse-engreitz:abc_predictions_T-cell_ENCSR217PZP_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR217PZP_DNaseOnly	/experiments/ENCSR217PZP/
