type	dataset	dist_bin	total_pairs	significant_pairs	negative_pairs	positive_pairs	positive_rate_significant	positive_rate_negative	positive_rate_positive	mean_dist
heldout	K562_DC_TAPseq	[0,5e+04]	233	21	20	1	0.09012875536480688	0.08583690987124463	0.00429184549356223	23163.07725321889
heldout	K562_DC_TAPseq	(5e+04,1e+05]	242	4	3	1	0.01652892561983471	0.01239669421487603	0.00413223140495867	73808.11157024793
heldout	K562_DC_TAPseq	(1e+05,1.5e+05]	180	2	2	0	0.01111111111111111	0.01111111111111111	0	123511.85555555556
heldout	K562_DC_TAPseq	(1.5e+05,2e+05]	195	5	4	1	0.02564102564102564	0.02051282051282051	0.00512820512820512	173549.6923076923
heldout	K562_DC_TAPseq	(2e+05,2.5e+05]	193	3	2	1	0.0155440414507772	0.01036269430051813	0.00518134715025906	226599.43005181348
heldout	K562_DC_TAPseq	(2.5e+05,3e+05]	186	0	0	0	0	0	0	276148.6182795699
heldout	K562_DC_TAPseq	(3e+05,3.5e+05]	207	1	0	1	0.00483091787439613	0	0.00483091787439613	323359.6280193237
heldout	K562_DC_TAPseq	(3.5e+05,4e+05]	169	3	1	2	0.01775147928994083	0.0059171597633136	0.01183431952662721	374955.9881656805
heldout	K562_DC_TAPseq	(4e+05,4.5e+05]	145	2	0	2	0.01379310344827586	0	0.01379310344827586	423014.52413793106
heldout	K562_DC_TAPseq	(4.5e+05,5e+05]	155	2	1	1	0.01290322580645161	0.0064516129032258	0.0064516129032258	476508.7741935483
heldout	K562_DC_TAPseq	(5e+05,5.5e+05]	173	4	2	2	0.02312138728323699	0.01156069364161849	0.01156069364161849	524474.6300578035
heldout	K562_DC_TAPseq	(5.5e+05,6e+05]	150	1	0	1	0.00666666666666666	0	0.00666666666666666	575469.1266666667
heldout	K562_DC_TAPseq	(6e+05,6.5e+05]	142	1	0	1	0.00704225352112676	0	0.00704225352112676	624551.9366197183
heldout	K562_DC_TAPseq	(6.5e+05,7e+05]	114	1	0	1	0.0087719298245614	0	0.0087719298245614	675305.1754385965
heldout	K562_DC_TAPseq	(7e+05,7.5e+05]	146	4	1	3	0.0273972602739726	0.00684931506849315	0.02054794520547945	725500.1369863014
heldout	K562_DC_TAPseq	(7.5e+05,8e+05]	144	0	0	0	0	0	0	775347.8194444445
heldout	K562_DC_TAPseq	(8e+05,8.5e+05]	129	2	0	2	0.01550387596899224	0	0.01550387596899224	825391.5736434108
heldout	K562_DC_TAPseq	(8.5e+05,9e+05]	118	1	0	1	0.00847457627118644	0	0.00847457627118644	875149.1694915254
heldout	K562_DC_TAPseq	(9e+05,9.5e+05]	126	0	0	0	0	0	0	924698.0476190476
heldout	K562_DC_TAPseq	(9.5e+05,1e+06]	128	1	1	0	0.0078125	0.0078125	0	976902.125
heldout	K562_DC_TAPseq	(1e+06,1.05e+06]	140	0	0	0	0	0	0	1024930.4142857144
heldout	K562_DC_TAPseq	(1.05e+06,1.1e+06]	136	1	0	1	0.00735294117647058	0	0.00735294117647058	1074044.7794117648
heldout	K562_DC_TAPseq	(1.1e+06,1.15e+06]	115	1	0	1	0.00869565217391304	0	0.00869565217391304	1124207.443478261
heldout	K562_DC_TAPseq	(1.15e+06,1.2e+06]	115	1	0	1	0.00869565217391304	0	0.00869565217391304	1174833.608695652
heldout	K562_DC_TAPseq	(1.2e+06,1.25e+06]	112	1	1	0	0.00892857142857142	0.00892857142857142	0	1224311.5089285714
heldout	K562_DC_TAPseq	(1.25e+06,1.3e+06]	110	0	0	0	0	0	0	1276210.5363636364
heldout	K562_DC_TAPseq	(1.3e+06,1.35e+06]	128	2	0	2	0.015625	0	0.015625	1324015.234375
heldout	K562_DC_TAPseq	(1.35e+06,1.4e+06]	128	1	0	1	0.0078125	0	0.0078125	1374440.9609375
heldout	K562_DC_TAPseq	(1.4e+06,1.45e+06]	113	0	0	0	0	0	0	1426169.6991150442
heldout	K562_DC_TAPseq	(1.45e+06,1.5e+06]	74	1	0	1	0.01351351351351351	0	0.01351351351351351	1474598.5405405406
heldout	K562_DC_TAPseq	(1.5e+06,1.55e+06]	80	1	0	1	0.0125	0	0.0125	1522181.1375
heldout	K562_DC_TAPseq	(1.55e+06,1.6e+06]	67	0	0	0	0	0	0	1572859.7611940298
heldout	K562_DC_TAPseq	(1.6e+06,1.65e+06]	70	0	0	0	0	0	0	1625424.9428571428
heldout	K562_DC_TAPseq	(1.65e+06,1.7e+06]	73	0	0	0	0	0	0	1671426.8767123288
heldout	K562_DC_TAPseq	(1.7e+06,1.75e+06]	66	0	0	0	0	0	0	1725267.878787879
heldout	K562_DC_TAPseq	(1.75e+06,1.8e+06]	77	2	0	2	0.02597402597402597	0	0.02597402597402597	1774666.6233766233
heldout	K562_DC_TAPseq	(1.8e+06,1.85e+06]	62	2	1	1	0.03225806451612903	0.01612903225806451	0.01612903225806451	1828481.8064516129
heldout	K562_DC_TAPseq	(1.85e+06,1.9e+06]	55	0	0	0	0	0	0	1873549.181818182
heldout	K562_DC_TAPseq	(1.9e+06,1.95e+06]	65	0	0	0	0	0	0	1927828.4307692307
heldout	K562_DC_TAPseq	(1.95e+06,2e+06]	60	2	2	0	0.03333333333333333	0.03333333333333333	0	1972734.4666666663
heldout	WTC11_DC_TAPseq	[0,5e+04]	284	36	32	4	0.1267605633802817	0.11267605633802816	0.01408450704225352	27519.3661971831
heldout	WTC11_DC_TAPseq	(5e+04,1e+05]	265	9	5	4	0.03396226415094339	0.01886792452830188	0.01509433962264151	73866.2
heldout	WTC11_DC_TAPseq	(1e+05,1.5e+05]	218	2	0	2	0.0091743119266055	0	0.0091743119266055	126562.09633027524
heldout	WTC11_DC_TAPseq	(1.5e+05,2e+05]	234	3	1	2	0.01282051282051282	0.00427350427350427	0.00854700854700854	173814.0170940171
heldout	WTC11_DC_TAPseq	(2e+05,2.5e+05]	194	2	2	0	0.01030927835051546	0.01030927835051546	0	224221.88659793817
heldout	WTC11_DC_TAPseq	(2.5e+05,3e+05]	214	4	2	2	0.01869158878504672	0.00934579439252336	0.00934579439252336	274533.1308411215
heldout	WTC11_DC_TAPseq	(3e+05,3.5e+05]	187	3	3	0	0.0160427807486631	0.0160427807486631	0	324411.9679144385
heldout	WTC11_DC_TAPseq	(3.5e+05,4e+05]	147	0	0	0	0	0	0	374893.20408163266
heldout	WTC11_DC_TAPseq	(4e+05,4.5e+05]	140	0	0	0	0	0	0	424878.78571428574
heldout	WTC11_DC_TAPseq	(4.5e+05,5e+05]	142	2	1	1	0.01408450704225352	0.00704225352112676	0.00704225352112676	474540.4647887324
heldout	WTC11_DC_TAPseq	(5e+05,5.5e+05]	155	3	2	1	0.01935483870967742	0.01290322580645161	0.0064516129032258	524592.7741935484
heldout	WTC11_DC_TAPseq	(5.5e+05,6e+05]	132	1	0	1	0.00757575757575757	0	0.00757575757575757	576973.9621212122
heldout	WTC11_DC_TAPseq	(6e+05,6.5e+05]	154	3	1	2	0.01948051948051948	0.00649350649350649	0.01298701298701298	623578.3376623377
heldout	WTC11_DC_TAPseq	(6.5e+05,7e+05]	143	1	0	1	0.00699300699300699	0	0.00699300699300699	676157.8251748251
heldout	WTC11_DC_TAPseq	(7e+05,7.5e+05]	133	0	0	0	0	0	0	726412.969924812
heldout	WTC11_DC_TAPseq	(7.5e+05,8e+05]	166	2	2	0	0.01204819277108433	0.01204819277108433	0	776240.8554216868
heldout	WTC11_DC_TAPseq	(8e+05,8.5e+05]	114	0	0	0	0	0	0	822693.0964912281
heldout	WTC11_DC_TAPseq	(8.5e+05,9e+05]	113	0	0	0	0	0	0	874191.2743362832
heldout	WTC11_DC_TAPseq	(9e+05,9.5e+05]	119	1	0	1	0.00840336134453781	0	0.00840336134453781	926726.7310924368
heldout	WTC11_DC_TAPseq	(9.5e+05,1e+06]	100	0	0	0	0	0	0	976704.99
heldout	WTC11_DC_TAPseq	(1e+06,1.05e+06]	117	2	0	2	0.01709401709401709	0	0.01709401709401709	1028073.752136752
heldout	WTC11_DC_TAPseq	(1.05e+06,1.1e+06]	100	1	1	0	0.01	0.01	0	1073840.42
heldout	WTC11_DC_TAPseq	(1.1e+06,1.15e+06]	127	1	1	0	0.00787401574803149	0.00787401574803149	0	1128575.1968503937
