2024-08-08 23:01:17.828256	https://www.encodeproject.org/report/?type=File&lab.title=Jesse+Engreitz%2C+Stanford&annotation_type=element+gene+regulatory+interaction+predictions&output_type=elements+reference&field=%40id&field=accession&field=dataset&field=file_type&field=derived_from&field=output_type&field=aliases&limit=all
ID	Accession	Dataset	File type	Derived from	Output type	Aliases
/files/ENCFF104WWF/	ENCFF104WWF	/annotations/ENCSR736GEV/	bed bed3+	/files/ENCFF213KGB/,/files/ENCFF191GDK/	elements reference	jesse-engreitz:abc_predictions_HCT116_ENCSR694YJR_DNaseOnly_candidate_elements
/files/ENCFF602BZA/	ENCFF602BZA	/annotations/ENCSR575WDI/	bed bed3+	/files/ENCFF619LVU/,/files/ENCFF166PCV/	elements reference	jesse-engreitz:abc_predictions_HCT116_ENCSR000ENM_DNaseOnly_candidate_elements
/files/ENCFF451SXA/	ENCFF451SXA	/annotations/ENCSR864LOX/	bed bed3+	/files/ENCFF168SEB/	elements reference	jesse-engreitz:abc_predictions_left_renal_pelvis_ENCSR318JAA_DNaseOnly_candidate_elements
/files/ENCFF839QXK/	ENCFF839QXK	/annotations/ENCSR600SNZ/	bed bed3+	/files/ENCFF766UHF/	elements reference	jesse-engreitz:abc_predictions_MCF_10A_ENCSR752EPH_DNaseOnly_candidate_elements
/files/ENCFF401DAO/	ENCFF401DAO	/annotations/ENCSR514CUR/	bed bed3+	/files/ENCFF028RJT/	elements reference	jesse-engreitz:abc_predictions_Ishikawa_ENCSR000EKM_DNaseOnly_candidate_elements
/files/ENCFF105FHF/	ENCFF105FHF	/annotations/ENCSR066FGT/	bed bed3+	/files/ENCFF046SMR/,/files/ENCFF438PJC/	elements reference	jesse-engreitz:abc_predictions_Karpas-422_ENCSR019JDO_DNaseOnly_candidate_elements
/files/ENCFF445RZP/	ENCFF445RZP	/annotations/ENCSR825HVE/	bed bed3+	/files/ENCFF590FGE/	elements reference	jesse-engreitz:abc_predictions_8988T_ENCSR000EID_DNaseOnly_candidate_elements
/files/ENCFF223KZQ/	ENCFF223KZQ	/annotations/ENCSR249ZEO/	bed bed3+	/files/ENCFF611LBU/,/files/ENCFF762BVA/	elements reference	jesse-engreitz:abc_predictions_HFF-Myc_ENCSR000ENR_DNaseOnly_candidate_elements
/files/ENCFF669WIB/	ENCFF669WIB	/annotations/ENCSR375YOR/	bed bed3+	/files/ENCFF028XIT/,/files/ENCFF139MVW/	elements reference	jesse-engreitz:abc_predictions_HCT116_ENCSR878VJL_DNaseOnly_candidate_elements
/files/ENCFF776BMA/	ENCFF776BMA	/annotations/ENCSR121YCJ/	bed bed3+	/files/ENCFF754VGI/,/files/ENCFF011ZHY/	elements reference	jesse-engreitz:abc_predictions_SK-N-MC_ENCSR000EPY_DNaseOnly_candidate_elements
/files/ENCFF587JRD/	ENCFF587JRD	/annotations/ENCSR718NPZ/	bed bed3+	/files/ENCFF721UJT/	elements reference	jesse-engreitz:abc_predictions_CMK_ENCSR000EMN_DNaseOnly_candidate_elements
/files/ENCFF853NUI/	ENCFF853NUI	/annotations/ENCSR335EAP/	bed bed3+	/files/ENCFF427RZA/	elements reference	jesse-engreitz:abc_predictions_H9_ENCSR000EJP_DNaseOnly_candidate_elements
/files/ENCFF781LDJ/	ENCFF781LDJ	/annotations/ENCSR819RAS/	bed bed3+	/files/ENCFF302MBM/,/files/ENCFF529IHR/	elements reference	jesse-engreitz:abc_predictions_H9_ENCSR943SYS_DNaseOnly_candidate_elements
/files/ENCFF437CIZ/	ENCFF437CIZ	/annotations/ENCSR868MTI/	bed bed3+	/files/ENCFF360PGB/	elements reference	jesse-engreitz:abc_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR534OJE_DNaseOnly_candidate_elements
/files/ENCFF973TPQ/	ENCFF973TPQ	/annotations/ENCSR374CYC/	bed bed3+	/files/ENCFF248FIH/	elements reference	jesse-engreitz:abc_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR860IDO_DNaseOnly_candidate_elements
/files/ENCFF910YRH/	ENCFF910YRH	/annotations/ENCSR449VNV/	bed bed3+	/files/ENCFF736DEU/	elements reference	jesse-engreitz:abc_predictions_activated_T-cell_ENCSR303JDG_DNaseOnly_candidate_elements
/files/ENCFF870TWV/	ENCFF870TWV	/annotations/ENCSR930ETB/	bed bed3+	/files/ENCFF417VEK/	elements reference	jesse-engreitz:abc_predictions_urothelium_cell_line_ENCSR000ELV_DNaseOnly_candidate_elements
/files/ENCFF243PZT/	ENCFF243PZT	/annotations/ENCSR291JOQ/	bed bed3+	/files/ENCFF836RBO/,/files/ENCFF758LRN/	elements reference	jesse-engreitz:abc_predictions_DND-41_ENCSR903SKE_DNaseOnly_candidate_elements
/files/ENCFF180UKU/	ENCFF180UKU	/annotations/ENCSR920MHM/	bed bed3+	/files/ENCFF500VCT/	elements reference	jesse-engreitz:abc_predictions_iPS_DF_4.7_ENCSR014FPY_DNaseOnly_candidate_elements
