loc1	loc2	synergyScore
e1	e1	NA
e2	e1	0.81
e3	e1	0.92
e4	e1	0.94
e5	e1	0.94
e6	e1	0.94
e7	e1	0.96
e1	e2	0.81
e2	e2	NA
e3	e2	0.72
e4	e2	0.84
e5	e2	0.94
e6	e2	0.92
e7	e2	0.93
e1	e3	0.92
e2	e3	0.72
e3	e3	NA
e4	e3	0.75
e5	e3	0.92
e6	e3	0.96
e7	e3	0.94
e1	e4	0.94
e2	e4	0.84
e3	e4	0.75
e4	e4	NA
e5	e4	0.82
e6	e4	0.9
e7	e4	0.95
e1	e5	0.94
e2	e5	0.94
e3	e5	0.92
e4	e5	0.82
e5	e5	NA
e6	e5	0.96
e7	e5	0.97
e1	e6	0.94
e2	e6	0.92
e3	e6	0.96
e4	e6	0.9
e5	e6	0.96
e6	e6	NA
e7	e6	0.63
e1	e7	0.96
e2	e7	0.93
e3	e7	0.94
e4	e7	0.95
e5	e7	0.97
e6	e7	0.63
e7	e7	NA
